Actual Time;Measured Time
0.999931299;1
1.998571013;2
2.998933522;3
3.998594693;4
4.99852453;5
5.998618081;6
6.998666611;7
7.998699061;8
8.998802259;9
9.998796997;10
10.99889873;11
11.99875958;12
12.99884494;13
13.99883237;14
14.99879437;15
15.99901567;16
16.99911945;17
17.99898673;18
18.99896042;19
19.99917997;20
20.99906332;21
21.9993165;22
22.99974361;23
23.99920131;24
24.99919839;25
25.99902854;26
26.99913524;27
27.9988695;28
28.99843566;29
29.9994273;30
30.99891978;31
31.99854616;32
32.99823394;33
33.99909928;34
34.99869818;35
35.99828451;36
36.99927177;37
37.99924721;38
38.99923084;39
39.99932146;40
40.99929983;41
41.99944045;42
42.99796907;43
43.99873063;44
44.99807315;45
45.99816699;46
46.99816758;47
47.99825499;48
48.99809917;49
49.9982547;50
50.99829709;51
51.99831083;52
52.99843127;53
53.99834591;54
54.99833246;55
55.99830732;56
56.99841636;57
57.99862802;58
58.99837046;59
59.99844472;60
60.99846869;61
61.99842045;62
62.99875811;63
63.99875811;64
64.9988084;65
65.99868123;66
66.99874438;67
67.99864673;68
68.99876864;69
69.99886014;70
70.99918728;71
71.99878384;72
72.9987891;73
73.99876396;74
74.99884699;75
75.99780975;76
76.99779337;77
77.9976586;78
78.99767644;79
79.99773052;80
80.9977045;81
81.99781033;82
82.99779396;83
83.9977504;84
84.99798369;85
85.9978343;86
86.99781705;87
87.99754605;88
88.99840847;89
89.9979872;90
90.99772935;91
91.99859616;92
92.99835439;93
93.99791557;94
94.99751652;95
95.99856751;96
96.99807023;97
97.99816992;98
98.99817752;99
99.99818892;100
100.9982398;101
101.9981138;102
102.9982585;103
103.998153;104
104.9982459;105
105.99835;106
106.9983664;107
107.9998722;108
108.9983979;109
109.9983857;110
110.9983594;111
111.9972195;112
112.9972224;113
113.9972902;114
114.9972712;115
115.9972522;116
117.0010089;117
117.9973148;118
118.9974212;119
119.9975741;120
120.9976808;121
121.9974718;122
122.9975943;123
123.9974203;124
124.9975876;125
125.9976238;126
126.9977694;127
127.9975709;128
128.997696;129
129.9977928;130
130.9977548;131
131.9976165;132
132.9977033;133
133.9978249;134
