Actual Time;Measured Time;Delta;EMA;PPM
1.000931414;1;-0.0009314140000000748;-0.0009314140000000748;None
2.00068789;2;-0.0006878900000000243;-0.0009070616000000698;24.35833183840722
3.0003987600000004;3;-0.0003987600000003866;-0.0008562314400001016;37.60119355100821
4.000262527;4;-0.00026252700000028995;-0.0007968609960001205;45.4595059929491
4.999845057;5;0.000154943000000074;-0.0007016805964001011;56.98127310020462
6.000845464999999;6;-0.0008454649999993791;-0.000716059036760029;50.06807112705335
7.000548149;7;-0.0005481490000001088;-0.0006992680330840369;44.03620448753978
8.000273928;8;-0.00027392800000036743;-0.00065673402977567;41.399107905494965
9.000018126;9;-1.8126000000506792e-05;-0.0005928732267981537;41.66667545221095
9.999851781;10;0.00014821899999972743;-0.0005187640041183656;43.5729491770016
11.000703969;11;-0.0007039689999999155;-0.0005372845037065206;41.78832888709223
12.000410454;12;-0.0004104540000007262;-0.0005246014533359411;39.63985604276658
13.000280068;13;-0.00028006800000035525;-0.0005001481080023826;37.84088653966013
13.999883354;14;0.00011664600000038661;-0.0004384686972021057;37.39168868312663
15.000969127;15;-0.0009691269999994034;-0.0004915345274818355;34.83696171111512
16.000592001;16;-0.0005920010000011189;-0.0005015811747337639;32.13791721123134
17.000353738999998;17;-0.0003537389999976881;-0.00048679695726015635;29.945595329553374
18.000033328;18;-3.332800000066527e-05;-0.0004414500615342072;28.677525872201077
18.999762323;19;0.00023767700000121295;-0.00037353735538066523;28.389465171578777
20.000370695;20;-0.00037069500000086464;-0.0003732531198426852;27.77781107402481
21.000843418000002;21;-0.0008434180000023161;-0.0004202696078586483;26.353430506253662
22.000178331;22;-0.0001783310000007532;-0.0003960757470728588;25.258423548149604
23.000774717;23;-0.0007747169999987591;-0.0004339398723654488;23.738920182053178
23.999999707999997;24;2.9200000284390626e-07;-0.00039051668512861957;22.76601077565806
25.000484710000002;25;-0.0004847100000020532;-0.00039993601661596293;21.711401265151444
25.999967841999997;26;3.215800000333502e-05;-0.00035672661495403314;21.06600485667273
27.000197917999998;27;-0.0001979179999977987;-0.0003408457534584097;20.512581708005218
28.000744898;28;-0.00074489800000066;-0.00038125097811263475;19.619324203681945
29.000137110000004;29;-0.0001371100000042702;-0.00035683688030179833;18.931742965665862
29.999876923000002;30;0.00012307699999780652;-0.00030884549227183785;18.560321722806474
31.000859497;31;-0.0008594970000004309;-0.0003639106430446972;17.810831653068195
32.000567444000005;32;-0.0005674440000049685;-0.00038426397874072435;16.97655698377848
33.000258142;33;-0.0002581419999998502;-0.00037165178086663695;16.26175050033831
34.000033035;34;-3.303500000129134e-05;-0.00033779010278010244;15.754640624464983
34.999745952000005;35;0.0002540479999950662;-0.0002786062925025856;15.536460443736722
36.000571829;36;-0.0005718290000018555;-0.0003079285632525126;15.150539860509447
37.000453136000004;37;-0.000453136000004406;-0.000322449306927702;14.697296967033841
38.000189733;38;-0.00018973299999913706;-0.0003091776762348455;14.306198466163162
38.999916682;39;8.33180000014977e-05;-0.0002699281086112112;14.068214205926488
40.000851604000005;40;-0.0008516040000046132;-0.0003280956977505514;13.599842545792868
41.000511898;41;-0.000511897999999178;-0.0003464759279754141;13.085344652558819
42.000343507000004;42;-0.0003435070000037399;-0.00034617903517824666;12.598453092626094
42.999904111;43;9.588900000068179e-05;-0.00030197223166035384;12.276673740594788
43.999825470000005;44;0.00017452999999534313;-0.00025432200849478416;12.104016698295316
45.000747236;45;-0.0007472360000022604;-0.0003036134076455318;11.775378717008646
46.000497865;46;-0.0004978649999998197;-0.0003230385668809606;11.401206159913281
47.000168684;47;-0.0001686840000019174;-0.0003076031101930563;11.083554380305237
48.000084488;48;-8.448799999882795e-05;-0.0002852915991736334;10.832633950667333
49.000915335;49;-0.00091533500000196;-0.0003482959392564661;10.430350058962432
50.000691983;50;-0.0006919830000029492;-0.0003826646453311144;9.969046735006945
51.000349354;51;-0.0003493540000008011;-0.00037933358079808306;9.544923234700576
52.000185348;52;-0.00018534800000225005;-0.00035993502271849975;9.189347943807926
52.99979682;53;0.00020317999999974745;-0.000303623520446675;8.971333780543869
54.000662456;54;-0.0006624560000005886;-0.00033950676840206637;8.686023650785007
55.000506636000004;55;-0.0005066360000043346;-0.0003562196915622932;8.38125259053845
56.000231538;56;-0.00023153800000130786;-0.0003437515224061947;8.115679202135968
56.999938608;57;6.13919999992163e-05;-0.0003032371701656536;7.935902460083823
57.999596855;58;0.00040314499999993814;-0.00023259895314909444;7.884036543465937
59.000810091000005;59;-0.0008100910000052863;-0.0002903481578347136;7.726006000754625
60.000433257000005;60;-0.0004332570000045166;-0.00030463904205169394;7.547173859496062
60.999940362000004;61;5.963799999619823e-05;-0.0002682113378469047;7.431190304640383
61.999857043000006;62;0.00014295699999422595;-0.00022709450406279165;7.377819587928797
63.00083318600001;63;-0.000833186000008368;-0.0002877036536573493;7.228187568663825
64.000514821;64;-0.0005148209999958908;-0.0003104153882912035;7.048974023171642
65.000266327;65;-0.00026632700000561726;-0.00030600654946264487;6.88211331335704
65.99999532300001;66;4.676999992625497e-06;-0.00027493819451711787;6.762789567890945
66.999693037;67;0.0003069629999998824;-0.00021674807506541784;6.721566713475051
68.00071858700001;68;-0.000718587000008597;-0.00026693196755973576;6.6110954381211
69.000306671;69;-0.00030667100000414393;-0.0002709058708041766;6.496811551072444
70.000170438;70;-0.00017043799999783005;-0.00026085908372354194;6.396334648217696
70.999716425;71;0.00028357499999742686;-0.00020641567535144506;6.3605099851482825
72.000838448;72;-0.0008384479999961059;-0.00026961890781591115;6.248167565068206
